ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000988.SZ,20260330,109.0,110.5,105.57,106.95,109.5,-2.55,-2.3288,593603.59,6361153.264
000988.SZ,20260331,105.8,106.65,102.11,103.5,106.95,-3.45,-3.2258,581703.84,6069808.841
000988.SZ,20260401,106.61,106.8,103.19,104.74,103.5,1.24,1.1981,517063.84,5419923.283
000988.SZ,20260402,104.05,105.4,99.87,100.34,104.74,-4.4,-4.2009,594417.56,6052846.908
000988.SZ,20260403,102.4,105.84,101.66,103.54,100.34,3.2,3.1892,685145.9,7132630.457
000988.SZ,20260407,104.88,108.5,103.26,104.2,103.54,0.66,0.6374,571042.35,6020707.756
000988.SZ,20260408,108.0,110.46,106.11,110.41,104.2,6.21,5.9597,915632.31,9947471.319
000988.SZ,20260409,108.21,117.85,107.77,114.93,110.41,4.52,4.0938,1112308.78,12664832.66
000988.SZ,20260410,117.0,117.68,113.9,115.92,114.93,0.99,0.8614,1004298.03,11621090.186
000988.SZ,20260413,114.86,125.2,114.86,125.16,115.92,9.24,7.971,1117461.1,13451654.272
000988.SZ,20260414,120.0,124.34,118.0,120.63,125.16,-4.53,-3.6194,1412244.35,17012737.637
000988.SZ,20260415,120.39,120.39,110.6,112.3,120.63,-8.33,-6.9054,1347892.33,15472057.25
000988.SZ,20260416,109.9,113.8,107.85,112.32,112.3,0.02,0.0178,802532.92,8907485.303
000988.SZ,20260417,113.0,117.58,112.79,116.68,112.32,4.36,3.8818,954007.83,11075499.101
000988.SZ,20260420,115.18,118.2,113.7,114.98,116.68,-1.7,-1.457,927997.11,10751370.615
000988.SZ,20260421,113.0,117.08,112.56,116.28,114.98,1.3,1.1306,696623.61,7999112.332
000988.SZ,20260422,115.48,121.33,115.23,120.95,116.28,4.67,4.0162,1059521.74,12675264.449
000988.SZ,20260423,121.93,123.5,116.0,117.65,120.95,-3.3,-2.7284,1006279.72,11974918.343
000988.SZ,20260424,115.0,117.35,113.03,115.32,117.65,-2.33,-1.9805,693970.26,7975591.681
000988.SZ,20260427,116.1,121.25,116.0,118.79,115.32,3.47,3.009,901736.86,10739392.372
000988.SZ,20260428,118.5,119.25,114.38,115.59,118.79,-3.2,-2.6938,655537.98,7635978.964
000988.SZ,20260429,114.39,120.5,114.39,119.04,115.59,3.45,2.9847,832806.37,9870030.169
000988.SZ,20260430,119.11,120.97,115.0,119.53,119.04,0.49,0.4116,920207.93,10868659.755
000988.SZ,20260506,123.01,129.44,121.66,125.19,119.53,5.66,4.7352,1088859.94,13650478.456
000988.SZ,20260507,125.79,134.52,123.8,133.5,125.19,8.31,6.6379,1066791.41,13847031.202
000988.SZ,20260508,130.79,136.9,129.28,136.69,133.5,3.19,2.3895,1057048.52,14026678.243
000988.SZ,20260511,139.98,148.78,139.93,147.56,136.69,10.87,7.9523,1053847.36,15301697.344
000988.SZ,20260512,146.98,150.5,144.0,144.16,147.56,-3.4,-2.3041,990431.2,14464324.795
000988.SZ,20260513,140.0,143.62,136.8,142.1,144.16,-2.06,-1.429,976176.73,13639583.875
000988.SZ,20260514,143.88,146.2,137.35,137.4,142.1,-4.7,-3.3075,905534.43,12872865.366
000988.SZ,20260515,138.1,142.98,130.26,133.98,137.4,-3.42,-2.4891,886671.63,12078422.227
000988.SZ,20260518,137.53,147.38,137.03,147.38,133.98,13.4,10.0015,676805.39,9779315.77
000988.SZ,20260519,151.06,159.69,147.28,158.4,147.38,11.02,7.4773,1422733.11,21806295.984
000988.SZ,20260520,158.41,170.88,158.41,163.42,158.4,5.02,3.1692,1306426.19,21573382.999
000988.SZ,20260521,164.01,165.8,152.99,153.96,163.42,-9.46,-5.7888,1211818.54,19322031.698
000988.SZ,20260522,155.55,159.14,153.6,156.31,153.96,2.35,1.5264,908111.75,14169395.95
000988.SZ,20260525,157.0,171.94,155.5,171.94,156.31,15.63,9.9994,1090618.11,17898491.776
000988.SZ,20260526,171.94,175.8,165.96,170.32,171.94,-1.62,-0.9422,1116061.79,19018159.065
000988.SZ,20260527,166.95,170.99,159.0,159.88,170.32,-10.44,-6.1296,1070289.21,17594636.62
000988.SZ,20260528,158.01,167.1,155.71,165.63,159.88,5.75,3.5964,815955.56,13287162.036
000988.SZ,20260529,166.34,166.34,150.28,151.92,165.63,-13.71,-8.2775,1057532.34,16580104.668
000988.SZ,20260601,154.9,154.92,142.58,143.07,151.92,-8.85,-5.8254,850158.92,12563483.27
000988.SZ,20260602,144.8,151.36,141.22,149.25,143.07,6.18,4.3196,775330.4,11402516.967
000988.SZ,20260603,153.98,160.68,150.7,154.39,149.25,5.14,3.4439,1014860.14,15917615.25
000988.SZ,20260604,150.01,161.09,150.01,158.36,154.39,3.97,2.5714,764053.97,11919691.502
000988.SZ,20260605,156.3,165.87,155.86,157.2,158.36,-1.16,-0.7325,921741.42,14874960.217
000988.SZ,20260608,146.0,154.78,146.0,148.85,157.2,-8.35,-5.3117,687509.99,10296122.701
000988.SZ,20260609,152.62,155.79,149.02,155.53,148.85,6.68,4.4877,649279.25,9936018.9652
000988.SZ,20260610,152.8,153.13,147.01,149.0,155.53,-6.53,-4.1985,524023.39,7870619.67103
000988.SZ,20260611,148.01,152.5,147.13,150.5,149.0,1.5,1.0067,491337.85,7371418.2821
000988.SZ,20260612,155.01,155.58,151.01,151.01,150.25,0.76,0.5058,627813.25,9597729.33053
000988.SZ,20260615,152.98,160.99,147.01,160.98,151.01,9.97,6.6022,769126.14,12015771.0179
000988.SZ,20260616,161.0,166.66,159.08,164.0,160.98,3.02,1.876,776302.63,12580328.0734
000988.SZ,20260617,161.65,172.8,161.0,170.51,164.0,6.51,3.9695,771903.22,12974799.6188
000988.SZ,20260618,169.11,181.57,168.72,177.55,170.51,7.04,4.1288,780773.7,13779668.935
000988.SZ,20260622,180.91,181.05,169.46,174.67,177.55,-2.88,-1.6221,905966.04,15897953.7289
000988.SZ,20260623,172.79,172.79,162.51,163.66,174.67,-11.01,-6.3033,766124.26,12737958.7488
000988.SZ,20260624,162.0,168.0,161.3,167.89,163.66,4.23,2.5846,548836.59,9095336.0361
000988.SZ,20260625,168.78,174.34,165.4,173.58,167.89,5.69,3.3891,608960.98,10442079.1516
000988.SZ,20260626,171.0,171.87,160.0,160.94,173.58,-12.64,-7.2819,667932.0,11014260.997
